hero_id,hero_name,role,rank,input,region,winrate,pickrate,banrate
hazard,Hazard,TANK,Bronze,PC,Europe,50.9,1.6,0.7
illari,Illari,SUPPORT,Bronze,PC,Europe,47.1,5.9,0.2
jetpack-cat,Jetpack Cat,SUPPORT,Bronze,PC,Europe,47.7,5.3,52.2
junker-queen,Junker Queen,TANK,Bronze,PC,Europe,53.5,3.2,0.3
junkrat,Junkrat,DAMAGE,Bronze,PC,Europe,50.3,13.7,8.6
juno,Juno,SUPPORT,Bronze,PC,Europe,50.9,25.8,0.6
kiriko,Kiriko,SUPPORT,Bronze,PC,Europe,47.8,28.5,0.9
lifeweaver,Lifeweaver,SUPPORT,Bronze,PC,Europe,46.6,11.6,0.3
lucio,Lúcio,SUPPORT,Bronze,PC,Europe,47.4,6.9,0.6
mauga,Mauga,TANK,Bronze,PC,Europe,45.3,4.6,22.7
mei,Mei,DAMAGE,Bronze,PC,Europe,52.9,6.9,5.9
mercy,Mercy,SUPPORT,Bronze,PC,Europe,48.5,25.3,8.7
mizuki,Mizuki,SUPPORT,Bronze,PC,Europe,52.8,14.0,0.6
moira,Moira,SUPPORT,Bronze,PC,Europe,52.8,39.1,18.4
orisa,Orisa,TANK,Bronze,PC,Europe,46.3,15.1,14.1
pharah,Pharah,DAMAGE,Bronze,PC,Europe,49.8,4.8,18.7
ramattra,Ramattra,TANK,Bronze,PC,Europe,51.1,9.9,10.2
reaper,Reaper,DAMAGE,Bronze,PC,Europe,53.1,9.1,2.7
reinhardt,Reinhardt,TANK,Bronze,PC,Europe,52.5,12.2,9.1
roadhog,Roadhog,TANK,Bronze,PC,Europe,48.2,5.9,9.3
shion,Shion,DAMAGE,Bronze,PC,Europe,49.0,10.3,1.1
sierra,Sierra,DAMAGE,Bronze,PC,Europe,49.6,19.8,23.2
sigma,Sigma,TANK,Bronze,PC,Europe,51.9,10.9,5.6
sojourn,Sojourn,DAMAGE,Bronze,PC,Europe,44.5,10.8,0.3
soldier-76,Soldier: 76,DAMAGE,Bronze,PC,Europe,48.3,15.4,0.9
sombra,Sombra,DAMAGE,Bronze,PC,Europe,47.3,2.7,61.5
symmetra,Symmetra,DAMAGE,Bronze,PC,Europe,47.9,2.7,1.2
torbjorn,Torbjörn,DAMAGE,Bronze,PC,Europe,48.7,5.5,0.6
tracer,Tracer,DAMAGE,Bronze,PC,Europe,46.7,4.7,7.1
vendetta,Vendetta,DAMAGE,Bronze,PC,Europe,55.9,4.2,5.9
venture,Venture,DAMAGE,Bronze,PC,Europe,52.6,1.5,0.5
widowmaker,Widowmaker,DAMAGE,Bronze,PC,Europe,46.7,7.3,20.4
winston,Winston,TANK,Bronze,PC,Europe,47.2,3.6,3.7
wrecking-ball,Wrecking Ball,TANK,Bronze,PC,Europe,42.7,2.5,6.9
wuyang,Wuyang,SUPPORT,Bronze,PC,Europe,48.2,5.3,0.1
zarya,Zarya,TANK,Bronze,PC,Europe,48.4,2.7,40.0
zenyatta,Zenyatta,SUPPORT,Bronze,PC,Europe,51.6,10.3,0.8
ana,Ana,SUPPORT,Bronze,PC,Asia,49.1,27.5,4.8
anran,Anran,DAMAGE,Bronze,PC,Asia,51.5,12.4,9.3
ashe,Ashe,DAMAGE,Bronze,PC,Asia,49.8,10.4,0.5
baptiste,Baptiste,SUPPORT,Bronze,PC,Asia,47.9,7.5,0.1
bastion,Bastion,DAMAGE,Bronze,PC,Asia,49.3,14.3,1.8
brigitte,Brigitte,SUPPORT,Bronze,PC,Asia,47.5,3.2,0.2
cassidy,Cassidy,DAMAGE,Bronze,PC,Asia,48.3,15.1,0.8
dmon,D.Mon,TANK,Bronze,PC,Asia,56.5,10.3,21.0
dva,D.Va,TANK,Bronze,PC,Asia,47.2,6.9,2.0
domina,Domina,TANK,Bronze,PC,Asia,51.3,5.5,2.5
doomfist,Doomfist,TANK,Bronze,PC,Asia,51.5,3.9,19.3
echo,Echo,DAMAGE,Bronze,PC,Asia,47.9,3.0,0.5
emre,Emre,DAMAGE,Bronze,PC,Asia,47.8,7.2,0.1
freja,Freja,DAMAGE,Bronze,PC,Asia,48.0,4.9,28.7
genji,Genji,DAMAGE,Bronze,PC,Asia,50.8,6.7,1.1
hanzo,Hanzo,DAMAGE,Bronze,PC,Asia,48.9,4.4,0.2
hazard,Hazard,TANK,Bronze,PC,Asia,46.8,2.4,0.5
illari,Illari,SUPPORT,Bronze,PC,Asia,51.0,5.3,0.1
jetpack-cat,Jetpack Cat,SUPPORT,Bronze,PC,Asia,52.4,3.7,70.3
junker-queen,Junker Queen,TANK,Bronze,PC,Asia,51.1,1.9,0.4
junkrat,Junkrat,DAMAGE,Bronze,PC,Asia,49.7,6.3,0.8
juno,Juno,SUPPORT,Bronze,PC,Asia,49.8,24.4,0.3
kiriko,Kiriko,SUPPORT,Bronze,PC,Asia,46.3,46.3,0.9
lifeweaver,Lifeweaver,SUPPORT,Bronze,PC,Asia,48.9,5.8,0.4
lucio,Lúcio,SUPPORT,Bronze,PC,Asia,46.3,4.0,0.2
mauga,Mauga,TANK,Bronze,PC,Asia,43.0,5.0,4.4
mei,Mei,DAMAGE,Bronze,PC,Asia,50.9,7.5,2.5
mercy,Mercy,SUPPORT,Bronze,PC,Asia,44.8,4.1,0.2
mizuki,Mizuki,SUPPORT,Bronze,PC,Asia,51.0,15.6,1.7
moira,Moira,SUPPORT,Bronze,PC,Asia,53.0,32.4,5.0
orisa,Orisa,TANK,Bronze,PC,Asia,44.9,14.4,6.8
pharah,Pharah,DAMAGE,Bronze,PC,Asia,53.5,3.2,68.1
ramattra,Ramattra,TANK,Bronze,PC,Asia,48.4,11.4,4.6
reaper,Reaper,DAMAGE,Bronze,PC,Asia,51.9,11.5,2.0
reinhardt,Reinhardt,TANK,Bronze,PC,Asia,54.4,7.7,2.6
roadhog,Roadhog,TANK,Bronze,PC,Asia,46.4,4.0,2.1
shion,Shion,DAMAGE,Bronze,PC,Asia,50.7,11.8,0.9
sierra,Sierra,DAMAGE,Bronze,PC,Asia,50.6,24.6,5.0
sigma,Sigma,TANK,Bronze,PC,Asia,50.3,14.7,5.2
sojourn,Sojourn,DAMAGE,Bronze,PC,Asia,43.7,15.2,0.3
soldier-76,Soldier: 76,DAMAGE,Bronze,PC,Asia,47.1,12.5,0.2
sombra,Sombra,DAMAGE,Bronze,PC,Asia,49.9,2.5,46.4
symmetra,Symmetra,DAMAGE,Bronze,PC,Asia,55.1,3.4,3.7
torbjorn,Torbjörn,DAMAGE,Bronze,PC,Asia,53.8,5.7,0.4
tracer,Tracer,DAMAGE,Bronze,PC,Asia,49.2,6.1,4.9
vendetta,Vendetta,DAMAGE,Bronze,PC,Asia,54.4,5.3,10.0
venture,Venture,DAMAGE,Bronze,PC,Asia,49.7,1.5,0.1
widowmaker,Widowmaker,DAMAGE,Bronze,PC,Asia,46.7,4.4,1.7
winston,Winston,TANK,Bronze,PC,Asia,52.1,6.6,9.7
wrecking-ball,Wrecking Ball,TANK,Bronze,PC,Asia,49.0,2.1,9.3
wuyang,Wuyang,SUPPORT,Bronze,PC,Asia,51.3,10.7,0.3
zarya,Zarya,TANK,Bronze,PC,Asia,49.5,3.2,61.3
zenyatta,Zenyatta,SUPPORT,Bronze,PC,Asia,52.0,9.5,0.6
ana,Ana,SUPPORT,Bronze,Console,Americas,47.9,13.5,2.1
anran,Anran,DAMAGE,Bronze,Console,Americas,51.3,9.0,8.6
ashe,Ashe,DAMAGE,Bronze,Console,Americas,50.0,13.9,1.0
baptiste,Baptiste,SUPPORT,Bronze,Console,Americas,48.6,6.7,0.2
bastion,Bastion,DAMAGE,Bronze,Console,Americas,49.8,20.9,6.8
brigitte,Brigitte,SUPPORT,Bronze,Console,Americas,50.6,3.8,0.2
cassidy,Cassidy,DAMAGE,Bronze,Console,Americas,50.8,7.3,0.6
dmon,D.Mon,TANK,Bronze,Console,Americas,55.6,7.7,11.3
dva,D.Va,TANK,Bronze,Console,Americas,48.4,18.0,9.7
domina,Domina,TANK,Bronze,Console,Americas,49.0,5.1,6.5
doomfist,Doomfist,TANK,Bronze,Console,Americas,47.6,2.6,5.1
echo,Echo,DAMAGE,Bronze,Console,Americas,45.8,5.1,0.6
emre,Emre,DAMAGE,Bronze,Console,Americas,49.6,8.7,0.1
freja,Freja,DAMAGE,Bronze,Console,Americas,46.7,8.1,1.4
genji,Genji,DAMAGE,Bronze,Console,Americas,51.4,5.8,2.4
hanzo,Hanzo,DAMAGE,Bronze,Console,Americas,49.2,9.0,0.9
hazard,Hazard,TANK,Bronze,Console,Americas,42.0,1.7,0.3
illari,Illari,SUPPORT,Bronze,Console,Americas,50.3,7.0,0.4
jetpack-cat,Jetpack Cat,SUPPORT,Bronze,Console,Americas,49.0,7.2,37.3
junker-queen,Junker Queen,TANK,Bronze,Console,Americas,52.6,3.3,0.4
junkrat,Junkrat,DAMAGE,Bronze,Console,Americas,48.8,9.5,4.6
juno,Juno,SUPPORT,Bronze,Console,Americas,51.3,37.1,1.2
kiriko,Kiriko,SUPPORT,Bronze,Console,Americas,46.3,16.3,0.6
lifeweaver,Lifeweaver,SUPPORT,Bronze,Console,Americas,47.8,13.6,0.5
lucio,Lúcio,SUPPORT,Bronze,Console,Americas,47.8,8.0,0.6
mauga,Mauga,TANK,Bronze,Console,Americas,42.6,5.2,25.3
mei,Mei,DAMAGE,Bronze,Console,Americas,50.6,7.4,8.8
mercy,Mercy,SUPPORT,Bronze,Console,Americas,48.5,24.8,15.3
mizuki,Mizuki,SUPPORT,Bronze,Console,Americas,52.1,10.3,0.4
moira,Moira,SUPPORT,Bronze,Console,Americas,53.7,31.7,17.1
orisa,Orisa,TANK,Bronze,Console,Americas,51.0,19.4,28.5
pharah,Pharah,DAMAGE,Bronze,Console,Americas,46.2,3.5,1.8
ramattra,Ramattra,TANK,Bronze,Console,Americas,52.0,9.5,7.5
reaper,Reaper,DAMAGE,Bronze,Console,Americas,52.4,8.2,3.7
reinhardt,Reinhardt,TANK,Bronze,Console,Americas,52.0,7.6,7.1
roadhog,Roadhog,TANK,Bronze,Console,Americas,47.1,4.6,11.3
